"","na","11","8","39","25","20","28","26","16","4","32","3","41","21","33","15","6","31","36","29","19","17","24","34","1","22","10","30","14","12","37","18","7","5","2","13","35","27","38","40","23","9"
"0_2",NA,806,0,0,1,0,0,4,0,0,5,8,3,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1.0",NA,250,0,0,28,0,1,1,6,6,9,41,2,0,0,4,3,1,3,8,1,1,5,9,0,0,0,2,0,1,8,8,1,1,0,0,1,1,0,5,0,0
"1.1",NA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.0",NA,7,0,0,0,0,0,0,0,1,241,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3.1",NA,8,0,0,2,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4.0",NA,8,0,0,1,194,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4.1",NA,1,0,0,0,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5.0",NA,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5.1",NA,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7.0",NA,23,0,0,1,0,0,243,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8.1",NA,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8.2",NA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
