,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
40,0,"('DA', 'DB', 'SAB')",3,29,"[(46, 1.4), (46, 1.5), (46, 2.0), (46, 2.1), (46, 2.2), (46, 2.7), (31, 2.3), (31, 2.5), (18, 2.7), (18, 2.8), (18, 2.9), (18, 3.0), (15, 2.6), (15, 2.9), (15, 3.0), (10, 2.5), (10, 2.7), (10, 2.8), (10, 2.9), (10, 3.0), (9, 2.9), (9, 3.0), (8, 2.1), (8, 2.2), (8, 2.3), (8, 2.7), (8, 2.8), (8, 2.9), (8, 3.0)]"
41,0,"('AVB', 'RIF', 'VA')",3,1,"[(46, 1.9)]"
42,0,"('AIZ', 'RIG', 'SMD')",3,1,"[(46, 2.8)]"
43,0,"('AVB', 'VA', 'VB')",3,1,"[(31, 2.5)]"
44,0,"('DB', 'VA', 'VB')",3,1,"[(31, 2.6)]"
45,0,"('AIZ', 'AVF', 'SAB')",3,1,"[(31, 2.8)]"
46,0,"('AS', 'PDB', 'VA')",3,2,"[(31, 2.9), (31, 3.0)]"
47,0,"('AS', 'DA', 'VA')",3,1,"[(23, 1.7)]"
48,0,"('AIB', 'RIV', 'VD')",3,1,"[(23, 3.0)]"
49,0,"('DB', 'SAB', 'VA')",3,9,"[(13, 1.0), (13, 1.1), (12, 0.7), (12, 1.3), (12, 1.4), (12, 1.5), (12, 1.6), (12, 1.7), (10, 2.0)]"
50,0,"('DA', 'SAB', 'VA')",3,3,"[(12, 2.7), (12, 2.9), (12, 3.0)]"
51,0,"('DA', 'DB', 'VA', 'VB')",4,46,"[(92, 1.1), (92, 1.9), (92, 2.3), (92, 2.5), (46, 0.6), (46, 0.7), (46, 1.1), (46, 1.7), (46, 2.7), (31, 0.6), (31, 0.7), (31, 1.6), (31, 1.7), (31, 1.8), (31, 1.9), (31, 2.0), (31, 2.1), (31, 2.9), (18, 0.2), (18, 0.7), (18, 0.8), (18, 0.9), (15, 1.4), (15, 1.6), (15, 2.5), (15, 2.6), (15, 2.7), (13, 0.5), (13, 0.6), (13, 0.7), (13, 0.8), (13, 0.9), (13, 1.0), (13, 1.1), (12, 0.2), (12, 0.3), (12, 0.4), (10, 0.4), (10, 2.1), (10, 2.8), (8, 1.8), (8, 1.9), (8, 2.0), (8, 2.4), (8, 2.5), (8, 2.6)]"
52,0,"('AIZ', 'AS', 'VA', 'VD')",4,1,"[(92, 1.6)]"
53,0,"('DA', 'SAB', 'VA', 'VB')",4,2,"[(92, 1.9), (13, 2.8)]"
54,0,"('ADA', 'AVH', 'LUAR', 'RMG')",4,1,"[(92, 2.1)]"
55,0,"('AVE', 'AWB', 'DVA', 'RIH')",4,1,"[(92, 2.1)]"
56,0,"('AS', 'DA', 'DB', 'SAB')",4,3,"[(92, 2.6), (92, 2.8), (92, 2.9)]"
57,0,"('AS', 'DA', 'DB', 'PDB')",4,3,"[(92, 2.6), (46, 2.8), (46, 2.9)]"
58,0,"('DA', 'DB', 'SAB', 'VA')",4,9,"[(92, 2.9), (46, 2.9), (31, 2.3), (12, 0.9), (12, 1.0), (12, 1.1), (12, 1.2), (12, 2.6), (10, 1.1)]"
59,0,"('AS', 'DA', 'VA', 'VB')",4,2,"[(46, 1.4), (18, 2.9)]"
60,0,"('DA', 'SAB', 'VA', 'VC')",4,1,"[(46, 1.7)]"
61,0,"('AS', 'AVF', 'DB', 'VC')",4,2,"[(46, 2.0), (46, 2.1)]"
62,0,"('DA', 'VA', 'VB', 'VC')",4,1,"[(46, 2.2)]"
63,0,"('SAB', 'VA', 'VB', 'VC')",4,1,"[(46, 2.3)]"
64,0,"('AIZ', 'AVF', 'SAB', 'SDQ')",4,1,"[(31, 2.7)]"
65,0,"('AS', 'DA', 'PDB', 'VA')",4,1,"[(31, 2.8)]"
66,0,"('AS', 'DA', 'DB', 'VA')",4,11,"[(23, 1.1), (23, 1.2), (23, 1.3), (23, 1.4), (23, 1.5), (23, 1.6), (23, 1.8), (9, 2.9), (9, 3.0), (8, 2.1), (8, 2.2)]"
67,0,"('AVB', 'DB', 'VA', 'VB')",4,1,"[(23, 2.2)]"
68,0,"('DB', 'SAB', 'VA', 'VB')",4,5,"[(9, 0.9), (9, 1.0), (9, 1.1), (9, 1.2), (9, 1.6)]"
69,0,"('DA', 'DB', 'SAB', 'VA', 'VB')",5,95,"[(92, 1.3), (92, 1.4), (92, 1.7), (92, 2.1), (92, 2.5), (92, 2.8), (46, 1.5), (46, 2.6), (31, 0.7), (31, 1.2), (31, 1.3), (31, 1.4), (31, 1.5), (31, 1.6), (31, 1.7), (31, 1.8), (31, 1.9), (31, 2.1), (31, 2.2), (31, 2.6), (31, 2.8), (23, 0.9), (23, 1.2), (23, 1.3), (23, 1.4), (23, 1.5), (23, 1.6), (23, 1.8), (23, 1.9), (23, 2.0), (23, 2.1), (23, 2.2), (23, 2.4), (23, 2.6), (23, 2.7), (23, 2.8), (23, 2.9), (23, 3.0), (18, 0.3), (18, 0.4), (15, 0.5), (15, 0.6), (15, 0.9), (15, 1.3), (15, 1.4), (15, 1.5), (15, 2.8), (15, 2.9), (13, 0.5), (13, 0.9), (13, 2.9), (13, 3.0), (12, 0.8), (12, 1.9), (12, 2.1), (12, 2.2), (12, 2.4), (12, 2.8), (12, 2.9), (12, 3.0), (10, 2.0), (10, 2.1), (10, 2.3), (10, 2.4), (10, 2.7), (10, 2.8), (10, 2.9), (10, 3.0), (9, 2.0), (9, 2.3), (9, 2.4), (9, 2.5), (9, 2.6), (9, 2.7), (9, 2.8), (9, 2.9), (8, 0.6), (8, 0.7), (8, 0.8), (8, 0.9), (8, 1.0), (8, 1.2), (8, 1.3), (8, 1.7), (8, 1.9), (8, 2.0), (8, 2.1), (8, 2.2), (8, 2.3), (8, 2.4), (8, 2.5), (8, 2.7), (8, 2.8), (8, 2.9), (8, 3.0)]"
70,0,"('DA', 'DB', 'M2', 'NSML', 'VA')",5,1,"[(92, 1.4)]"
71,0,"('AUA', 'AVD', 'CAN', 'MI', 'PLN')",5,1,"[(92, 1.6)]"
72,0,"('AS', 'DA', 'DB', 'VA', 'VB')",5,37,"[(92, 1.8), (46, 1.6), (46, 2.3), (46, 2.9), (31, 0.9), (23, 1.6), (23, 2.0), (23, 2.2), (23, 2.5), (18, 2.5), (18, 2.6), (18, 2.7), (18, 2.8), (18, 2.9), (18, 3.0), (15, 1.5), (15, 1.6), (15, 1.7), (15, 1.8), (15, 2.5), (15, 2.6), (15, 2.7), (15, 2.8), (15, 2.9), (15, 3.0), (13, 2.3), (10, 2.7), (9, 1.4), (9, 1.5), (9, 1.8), (9, 2.1), (9, 2.2), (9, 2.3), (9, 2.4), (9, 2.5), (9, 2.6), (8, 2.3)]"
73,0,"('AS', 'DA', 'SAB', 'VA', 'VB')",5,7,"[(92, 2.4), (46, 2.4), (15, 2.9), (15, 3.0), (13, 2.8), (13, 2.9), (13, 3.0)]"
74,0,"('AIN', 'AVB', 'RIF', 'VA', 'VB')",5,1,"[(46, 2.8)]"
75,0,"('AVH', 'LUAR', 'OLL', 'PVW', 'RMG')",5,3,"[(31, 2.4), (31, 2.6), (31, 2.8)]"
76,0,"('AS', 'DA', 'DB', 'PDB', 'VA')",5,2,"[(23, 2.9), (23, 3.0)]"
77,0,"('DA', 'DB', 'PDB', 'SAB', 'VA')",5,1,"[(23, 3.0)]"
78,0,"('AS', 'DA', 'DB', 'SAB', 'VA')",5,3,"[(18, 2.2), (18, 2.6), (10, 2.6)]"
