"","parent_cluster","dim","resol","subcluster","n_cells","cluster_id","n_ident","n_clusters"
"0","8.0",92,0.1,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"01","8.0",92,0.2,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"02","8.0",92,0.3,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"03","8.0",92,0.4,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"04","8.0",92,0.5,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"05","8.0",92,0.6,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"06","8.0",92,0.7,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"07","8.0",92,0.8,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"08","8.0",92,0.9,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"09","8.0",92,1,"0",59,"AVD, AVE, AIB, AVB, PVC, AVG, AVA, RMG, DA, AIN, LUAR, AIA, RID, RIG, M2, RMH, RIR, RMD, RIM, RIP, NSML, PLN, I4, AVJ, MCL, RIA, IL2, RIS, PHC, DVA, URY, PVQ, DB, I3, SMD, M1",36,3
"1","8.0",92,1,"1",49,"AVD, PVC, AVE, AIB, AVG, LUAR, AVB, DB, AVA, AIA, AIN, RIR, RMG, RMD, RID, URA, RIB, RMH, SAB, M1, RIG, SMD, RIM, RIC, M2, URY, DA, I1, RIA, RIF, RIV, MCL, NSML, PVW, PVQ, ADA, PDB, M4, PLN, BDU, AIY, URB, RIS, RIP, VC, AVJ, IL2, DVA, SAA, SDQ, AVL, AIZ, ALA, AIM, PVPL, MI, AVH, SIB, I3, I6, I5, M5, SMB, I4, PHC, CEPD, RME, AS, VB, AFD, DVB, M3, FLP, RIH, PVR, AVF, DVC",77,3
"2","8.0",92,1,"2",41,"AVE, AVD, PVC, AIB, AVG",5,3
"010","8.0",92,1.1,"0",19,"AVD, AIB, AVE, AVB, AVG, AVA, PVC",7,15
"15","8.0",92,1.1,"1",19,"PVC, AVD, AIB, AVE, AVG, MCL, AIA, RID, M1, AIN, PVW, RIB, LUAR, AVB, M4, I5, ADA, AVA, RIM, URA, M2, RMG, RIR, SMD, PLN, DB, RIF, RMD, AVL, RIG, RMH, DA, AIZ, RIC, PVQ, DVA, RIV, I1, RIP, RIA, FLP, IL2, VC, URB, URY, ALA, AIM, PDB, RIS, BDU, AIY, DVB, I4, SIB, SAA, I6, DVC, SMB, NSML, AVJ, PHC, I3, CEPD, MI, SAB, AVH, IL1, PVPL, M5, CAN, ADE, M3, AS, ASI, RME, AFD, VB, RIH, AVF, PVR, ASEL, AVK, VA, AUA, I2, AWC, PVT, PVM",88,15
"21","8.0",92,1.1,"2",16,"AVD, PVC, DB, AIB, AVE, URA, SAB, LUAR, AVB, AVG, M1, RIR, DA, RIA, AIN, RMH, M2, AVJ, NSML, AVA, RIG, RIV, AIY, RIM",24,15
"3","8.0",92,1.1,"3",15,"",0,15
"4","8.0",92,1.1,"4",14,"",0,15
"5","8.0",92,1.1,"5",13,"",0,15
"6","8.0",92,1.1,"6",11,"AVE, AIB, PVC, AVD, AVB, RIR, BDU, LUAR, RMD, PVR, PVQ, AVA, RIB, RMH, AIN, AVG, URY, ADE, RIG, AIA, RMG, PDB, AIM, RID, ALA, RIS, VC, I1, DB, URA, ADA, RIM, RIF, SAA, M2, PVPL, RIV, DVA, DA, RIC, NSML, RIA, M5, PVW, AFD, BAG, IL1, SAB, RME, PVM, URX, SDQ, M1, RIP, AIY, IL2, RIH, FLP, AVL, AWA, MI, SMD, PLN, I3, URB, PHC, DVB, AVF, SIB",69,15
"7","8.0",92,1.1,"7",11,"",0,15
"8","8.0",92,1.1,"8",6,"",0,15
"9","8.0",92,1.1,"9",6,"",0,15
"10","8.0",92,1.1,"10",5,"",0,15
"11","8.0",92,1.1,"11",4,"",0,15
"12","8.0",92,1.1,"12",4,"",0,15
"13","8.0",92,1.1,"13",4,"AVD, AVG, AVE, PVC, M2, AVB, RMG, AIN, LUAR, AIB, AVA, RIF, RMD, RIP, M1, MCL, PLN, RIR, SIB, I4, RIG, VC, RIM, AIA, URB, URA, RMH, RID, MI, AVK, PVW, I1, RIC, VA, I3, RIA, ADA, PHC, VB, NSML, DVB, I5, PDB, M3, SAA, SMD, AVJ, IL2, AVF, I6, AVH, URY, DVC, AIZ, DVA, PVQ, AFD, PVPL, M4, DB, PVR, BDU, SAB, DA, SMB, M5, SDQ, RIH, AUA, RIV, I2, SIA, ALA, AVL, AIM, RIS, PVT, AS, ALN, RIB, RME, AIY, ADE, ASG, ASI, AWB, AWA, CAN, IL1, OLL, ASJ, URX, AWC, PHB, ADF, ASEL, ASER, ASH, PHA, ADL",100,15
"14","8.0",92,1.1,"14",2,"",0,15
"011","8.0",92,1.2,"0",11,"AVD, AVB, M4, AIB, AVE, MCL, PVC, RID, DVA, AIA, AVG, AIN, I1, M2, VC, PLN, I5, LUAR, URA, RMD, RIB, RMG, URY, SMD, RIG, M1, RIM, I4, SAB, IL2, RIC, PVQ, AVA, RIS, RIV, SAA, RIP, RIA, URB, RIF, NSML, DB, RIR, AIZ, AVL, DA, I2, MI, VB, IL1, PHC, BDU, I3, PVW",54,32
"110","8.0",92,1.2,"1",10,"",0,32
"210","8.0",92,1.2,"2",9,"",0,32
"32","8.0",92,1.2,"3",7,"",0,32
"41","8.0",92,1.2,"4",7,"",0,32
"51","8.0",92,1.2,"5",7,"",0,32
"61","8.0",92,1.2,"6",6,"",0,32
"71","8.0",92,1.2,"7",6,"PVC, AVD, AVE, DB, AIB, AVG, DA, RMD, AVJ, SAB, DVA, RIB, RIM, URA, URY, M1, AVB, RIS, RIG, AVA, SMD, PVQ, RIV, AIN, RIA, IL2, RMH, LUAR, VA, RIR, AVL, PVPL, SDQ, RME, MCL, M2, URB, PDB, I1, VB, SAA, ALA, PVW, RMG, VC, SIB, M4, RIF, AS, FLP, AIZ, ASJ",52,32
"81","8.0",92,1.2,"8",5,"",0,32
"91","8.0",92,1.2,"9",5,"",0,32
"101","8.0",92,1.2,"10",5,"",0,32
"111","8.0",92,1.2,"11",5,"",0,32
"121","8.0",92,1.2,"12",5,"AVD, AVE, AVG, PVC, AVB, RMH, RIV, RIR, RIM, AVA, AIB, URY, ADA, AIN, DA, DB, RIG, RMD, M1, RIS, LUAR, AIY, RMG, RIP, I1, PVPL, MCL, AIA, RIF, M2, PLN, SDQ, RIA, RIH, MI, DVA, I3, SAA, IL1, I6, PDB, RIB, PHC, AVJ, SIB, URB, ALN, VC, AVH, DVB, M3, I4, AVF, IL2, DD, PVW, SMB, PVR, URA, DVC, M4, RID, I5, ALA, AVK, M5, URX, PVT, AVL, CEPD, FLP, AUA, BDU, I2, AIM, AIZ, SAB, RIC, ADE, AWA, CAN, BAG, VD, RME, AS, OLL, PVM, OLQ, PVQ, AFD, ASG",91,32
"131","8.0",92,1.2,"13",4,"",0,32
"141","8.0",92,1.2,"14",5,"",0,32
"151","8.0",92,1.2,"15",4,"",0,32
"16","8.0",92,1.2,"16",5,"",0,32
"17","8.0",92,1.2,"17",4,"",0,32
"18","8.0",92,1.2,"18",4,"",0,32
"19","8.0",92,1.2,"19",3,"",0,32
"20","8.0",92,1.2,"20",3,"",0,32
"211","8.0",92,1.2,"21",3,"",0,32
"22","8.0",92,1.2,"22",3,"",0,32
"23","8.0",92,1.2,"23",2,"",0,32
"24","8.0",92,1.2,"24",3,"",0,32
"25","8.0",92,1.2,"25",2,"",0,32
"26","8.0",92,1.2,"26",2,"",0,32
"27","8.0",92,1.2,"27",2,"",0,32
"28","8.0",92,1.2,"28",3,"",0,32
"29","8.0",92,1.2,"29",3,"",0,32
"30","8.0",92,1.2,"30",2,"",0,32
"31","8.0",92,1.2,"31",4,"",0,32
"012","8.0",92,1.3,"0",7,"",0,39
"112","8.0",92,1.3,"1",7,"",0,39
"212","8.0",92,1.3,"2",6,"",0,39
"39","8.0",92,1.3,"3",6,"",0,39
"42","8.0",92,1.3,"4",5,"RIR",1,39
"52","8.0",92,1.3,"5",5,"",0,39
"62","8.0",92,1.3,"6",4,"",0,39
"72","8.0",92,1.3,"7",4,"",0,39
"82","8.0",92,1.3,"8",4,"AVG, PVC, AVD, AVE, AVB, AVA, RMH, RIR, ADA, RIV, M1, RIM, DA, AIB, AIN, LUAR, RMD, DB, AIA, RIG, AIY, URY, RIF, DVA, RIP, I6, RMG, RIS, AVJ, PLN, AVH, PVPL, I1, RIH, RIA, URB, SAA, ALN, I5, IL2, MCL, I3, SDQ, RIB, SIB, IL1, SMB, URA, VC, M2, ALA, PHC, AVL, PDB, RID, URX, NSML, PVW, CEPD, SMD, DVB, I4, AVF, AVK, VA, MI, PVR, DVC, SAB, RIC, PVQ, VB, SIA, RME, FLP, AIM, AIZ, M4, I2, BAG, BDU, ADE, M3, DD, AS, AWA, PVM, CAN, VD, M5, AFD, OLL, AUA, OLQ, AVM, AQR.PQR, AWB, ALM, ASJ, ASI, ASK, AWC, ASH, PHB, PHA, ADL",106,39
"92","8.0",92,1.3,"9",8,"",0,39
"102","8.0",92,1.3,"10",3,"",0,39
"113","8.0",92,1.3,"11",5,"RIS",1,39
"122","8.0",92,1.3,"12",3,"",0,39
"132","8.0",92,1.3,"13",3,"",0,39
"142","8.0",92,1.3,"14",3,"",0,39
"152","8.0",92,1.3,"15",3,"",0,39
"161","8.0",92,1.3,"16",3,"",0,39
"171","8.0",92,1.3,"17",3,"",0,39
"181","8.0",92,1.3,"18",3,"",0,39
"191","8.0",92,1.3,"19",4,"",0,39
"201","8.0",92,1.3,"20",2,"",0,39
"213","8.0",92,1.3,"21",2,"",0,39
"221","8.0",92,1.3,"22",2,"",0,39
"231","8.0",92,1.3,"23",2,"RID",1,39
"241","8.0",92,1.3,"24",2,"",0,39
"251","8.0",92,1.3,"25",2,"",0,39
"261","8.0",92,1.3,"26",2,"",0,39
"271","8.0",92,1.3,"27",2,"",0,39
"281","8.0",92,1.3,"28",4,"",0,39
"291","8.0",92,1.3,"29",5,"",0,39
"301","8.0",92,1.3,"30",3,"",0,39
"311","8.0",92,1.3,"31",2,"",0,39
"321","8.0",92,1.3,"32",6,"",0,39
"33","8.0",92,1.3,"33",2,"",0,39
"34","8.0",92,1.3,"34",2,"M5",1,39
"35","8.0",92,1.3,"35",13,"",0,39
"36","8.0",92,1.3,"36",2,"",0,39
"37","8.0",92,1.3,"37",2,"",0,39
"38","8.0",92,1.3,"38",3,"",0,39
"013","8.0",92,1.4,"0",4,"",0,34
"114","8.0",92,1.4,"1",4,"",0,34
"214","8.0",92,1.4,"2",4,"",0,34
"310","8.0",92,1.4,"3",3,"",0,34
"43","8.0",92,1.4,"4",3,"",0,34
"53","8.0",92,1.4,"5",3,"",0,34
"63","8.0",92,1.4,"6",3,"",0,34
"73","8.0",92,1.4,"7",3,"",0,34
"83","8.0",92,1.4,"8",3,"",0,34
"93","8.0",92,1.4,"9",4,"",0,34
"103","8.0",92,1.4,"10",3,"",0,34
"115","8.0",92,1.4,"11",6,"AVD, AVG, AVB, AVE, PVC, AIB, AVA, RMG, RIF, AVH, LUAR, AIN, RIG, RIA, RID, RIM, CAN, I5, RME, AVK",20,34
"123","8.0",92,1.4,"12",3,"",0,34
"133","8.0",92,1.4,"13",5,"",0,34
"143","8.0",92,1.4,"14",9,"",0,34
"153","8.0",92,1.4,"15",2,"",0,34
"162","8.0",92,1.4,"16",10,"",0,34
"172","8.0",92,1.4,"17",3,"",0,34
"182","8.0",92,1.4,"18",2,"",0,34
"192","8.0",92,1.4,"19",3,"",0,34
"202","8.0",92,1.4,"20",2,"",0,34
"215","8.0",92,1.4,"21",4,"",0,34
"222","8.0",92,1.4,"22",3,"",0,34
"232","8.0",92,1.4,"23",2,"",0,34
"242","8.0",92,1.4,"24",6,"",0,34
"252","8.0",92,1.4,"25",3,"",0,34
"262","8.0",92,1.4,"26",4,"",0,34
"272","8.0",92,1.4,"27",3,"AVD, AVB, AVE, RMH, RIR, RIV, AIN, AIB, AIA, URY, RIG, RMD, RIP, M1, RMG, AIY, I1, RIS, ALN, PVPL, RIH, RIF, SAA, PLN, RIA, I3, AVL, URX, VC, RID, RIB, SDQ, PHC, PVW, AVH, PDB, AVF, SMB, I5, ALA, BAG, M2, AIZ, FLP, ADE, PVM, I2, M4, AS, VD, OLQ, ASJ, PHA",53,34
"282","8.0",92,1.4,"28",3,"",0,34
"292","8.0",92,1.4,"29",26,"AIB, RMG, PVC, AVD, LUAR, ADA, AVE, RIC, IL2, BDU, PVW, RMH, AVB, RIR, M1, AVL, RIV, RID, VC, RIG, AIZ, AVG, AVJ, RIS, AVA, RIP, I1, SDQ, URA, DB, SAB, MCL, PLN, AVH, URY, RIA, DA, AIA, RMD, PVQ",40,34
"302","8.0",92,1.4,"30",5,"",0,34
"312","8.0",92,1.4,"31",2,"",0,34
"322","8.0",92,1.4,"32",3,"",0,34
"331","8.0",92,1.4,"33",3,"",0,34
"014","8.0",92,1.5,"0",5,"",0,24
"116","8.0",92,1.5,"1",3,"",0,24
"216","8.0",92,1.5,"2",3,"",0,24
"313","8.0",92,1.5,"3",4,"",0,24
"44","8.0",92,1.5,"4",5,"",0,24
"54","8.0",92,1.5,"5",4,"",0,24
"64","8.0",92,1.5,"6",3,"",0,24
"74","8.0",92,1.5,"7",2,"",0,24
"84","8.0",92,1.5,"8",5,"",0,24
"94","8.0",92,1.5,"9",5,"",0,24
"104","8.0",92,1.5,"10",2,"",0,24
"117","8.0",92,1.5,"11",4,"",0,24
"124","8.0",92,1.5,"12",5,"AVD, AVE, AVG, PVC, AVB, RMH, RIV, RIR, RIM, AVA, AIB, ADA, AIN, DA, DB, RIG, RMD, M1, LUAR, AIY, RMG, RIP, RIS, URY, PVPL, AIA, I1, RIF, PLN, RIA, IL2, RIH, DVA, I3, SAA, IL1, I6, RIB, SDQ, AVJ, SIB, SAB, PHC, URB, ALN, URA, VC, AVH, MCL, NSML, DVB, I4, PDB, PVW, AVF, SMB, RID, I5, ALA, AVK, SMD, PVR, DVC, URX, ASG, M2, AVL, CEPD, RIC, FLP, AIM, I2, AIZ, AWA, AFD, BDU, ADE, SIA, M4, BAG, MI, RME, AS, VD, PVM, OLL, DD, ADF, PVQ, OLQ, M3, VB, AVM, ASI, AQR.PQR, AWB, VA, ASJ, AUA, ASEL, M5, ASH, AWC, ASK",104,24
"134","8.0",92,1.5,"13",20,"AVD, AVE, AVG, PVC, AIB, AVB, RMG, RIG, RMD, RIA, I4, PLN, LUAR, AVJ, RIS, AVA, RIR, RIM, M2, RIP, RID, RMH, M1, URY, AIN, MCL, NSML, PHC, DA, IL2, PVQ, AVF, AIA, RME, URB, DVA, M3, VC, SMD, RIF, AVH, ADA, AS, MI, PVW, PVR, I2, URA, DB, I6, AVK, ALA, I3, AFD, I5, PVPL, I1, SDQ, AUA, SIB, BDU, RIB, ALN, IL1, BAG, VB, VA, PVT",68,24
"144","8.0",92,1.5,"14",2,"",0,24
"154","8.0",92,1.5,"15",16,"AVD, PVC, AVE, AVG, AIB, RIM, AVA, URA, DA, AVB, LUAR, RMH, AIN, RIR, DVA, RIV, IL2, RIG, AIA, PVPL, DB",21,24
"163","8.0",92,1.5,"16",2,"",0,24
"173","8.0",92,1.5,"17",2,"",0,24
"183","8.0",92,1.5,"18",4,"",0,24
"193","8.0",92,1.5,"19",3,"",0,24
"203","8.0",92,1.5,"20",2,"",0,24
"217","8.0",92,1.5,"21",4,"",0,24
"223","8.0",92,1.5,"22",2,"",0,24
"233","8.0",92,1.5,"23",42,"AVD, AVE, PVC, RMG, IL2, DB, AVG",7,24
"015","8.0",92,1.6,"0",7,"",0,14
"118","8.0",92,1.6,"1",5,"",0,14
"218","8.0",92,1.6,"2",5,"RIR",1,14
"314","8.0",92,1.6,"3",3,"",0,14
"45","8.0",92,1.6,"4",84,"PVC, AVD, AVE, AIB, AVG, AVB, RMG, AVA, AIN, LUAR, RIG, IL2, M1, RMD, AVJ, M2, RID, DB, RMH, RIA, RIM, PVW, RIR, NSML, SMD, DA, MCL, AVH, RIP, URY, RIC, URA, AIA, PLN, RIV, RIS, PDB, SAB, RIB, VC, SIB, ADA, BDU, IL1, I1, AIM, I3, I4, RIF, AIZ, ALA, I6, DVA",53,14
"55","8.0",92,1.6,"5",2,"",0,14
"65","8.0",92,1.6,"6",11,"",0,14
"75","8.0",92,1.6,"7",3,"",0,14
"85","8.0",92,1.6,"8",4,"",0,14
"95","8.0",92,1.6,"9",5,"",0,14
"105","8.0",92,1.6,"10",3,"",0,14
"119","8.0",92,1.6,"11",5,"",0,14
"125","8.0",92,1.6,"12",6,"",0,14
"135","8.0",92,1.6,"13",6,"",0,14
"016","8.0",92,1.7,"0",11,"AVD, M4, AVB, AVE, MCL, AIA, PVC, M1, AVG, AIB, AVA, I5, LUAR, RID, IL2, URA, RMG, I4, URB, NSML, BDU",21,9
"120","8.0",92,1.7,"1",18,"AVD, PVC, AIB, DB, LUAR, AVE, SAB, URA, AVB, RIR, AVG, RMG, AIN, RIB, RIC, URY, AIA, RIA, M2, AVJ, RMH, AVA, M1, RIF, IL2, PVW, NSML, RMD, SMD, RIV, DA",31,9
"219","8.0",92,1.7,"2",7,"RMG, AVB, LUAR, AIB, AVA, AVD, PVC, DVA, URY, AVG, RIB, NSML, AVJ, I4, M2, DA, AVE, PLN, I3, RIG, RIS, ADA, RIF, RMD, RID, DB, RIP, I5, SMD, PDB, PVM, RME, RIM, AIN, CAN, IL2, URA, AS, SDQ, RIA, BAG, MCL, DD, ALA, AIM, I1, AIZ, AVL, RIR, MI, ALM, URX, PVPL, RMH, AFD, PLM, AVM, PHC, I6, SAB, VD, AVF, PVQ, PVW, URB, M3, DVB, VB, OLL, AVH, ALN, AVK, DVC, PVR, VA, SMB, M1, CEPD, AIY, M4, RIH, AUA, VC, I2, FLP, SIB, ADE, AWA, AIA, ASG, SAA, RIC, BDU, SIA, AQR.PQR, RIV, IL1, OLQ",98,9
"315","8.0",92,1.7,"3",3,"",0,9
"46","8.0",92,1.7,"4",3,"",0,9
"56","8.0",92,1.7,"5",79,"AVD, AVE, AIB, PVC, AVB, RMG, AVG, AVA, AIN, LUAR, RIG, M2, RID, RIM, RMH, RMD, AVJ, M1, DA, IL2, PLN, RIA, NSML, AVH, URA, RIP, VC, RIR, URY, RIV, RIS, I1, AIA, DB, ADA, SIB, RIC, RIF, SAA, SAB, RIB, PVQ, ALA, I4, DVA, PVW, IL1, I3, URB, PDB, AS, SMD, BDU, PVPL, I6, AVF, I5, MI, AIM, MCL, PVR",61,9
"66","8.0",92,1.7,"6",7,"",0,9
"76","8.0",92,1.7,"7",7,"AVD, AVE, AVG, AVB, PVC, RMD, AIB, AIN, DA, M2, AVA, PLN, RMH, LUAR, DB, IL2, RIM, MCL, URA, SMB, PDB, I6, M1, URB, SIB, AVJ, DVA, RIV, I1, SAA, VB, AIA, M5, VA, RIH, PVPL, RMG, SMD, AVF, RIP, M4, NSML, SAB, SIA, AIY, RIR, SDQ, ALA, VC, I3, PVT, AS, RID, URX, ADA, MI, RIC, RIG, PVW, PVR, M3, DVB, I4, URY, DVC, RIS, I5, RIA, AFD, AVH, AIM, AIZ, AVL, RIB, RIF, ASG, RME",77,9
"86","8.0",92,1.7,"8",14,"AVE, AVD, PVC, AVB, LUAR, AVA, RIR, RMG, AIB, RMH, RIB, AVG, AIA, RID, RMD, AIN, RIF, RIA, RIS, PVR, RIM, VC, I1, URY, RIP, RIG, PLN, ADA, DVA, RIV, NSML, PVPL, PDB, ALA, AVH, PVW, I3, AFD, M2, DB, DA, SDQ, IL2, PHC, M5, URA, URB, BDU, PVQ, RME, DVC, M1, AIM, DVB, MI, RIH, SAB, AVJ, SMD, ADE, AVL, MCL, AVF, IL1, ASEL, AWA, PVM, PHB, URX, AIY, CEPD, RIC, SAA, FLP, I6, SMB, M3, SIB, AVK, I4, AIZ",81,9
"017","8.0",92,1.8,"0",15,"AVD, PVC, AIB, DB, SAB, AVE",6,3
"126","8.0",92,1.8,"1",19,"PVC, AVE, AVD",3,3
"220","8.0",92,1.8,"2",115,"AVD, PVC, AVE, AIB, AVB, AVG",6,3
"018","8.0",92,1.9,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"019","8.0",46,0.1,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"020","8.0",46,0.2,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"021","8.0",46,0.3,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"022","8.0",46,0.4,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"023","8.0",46,0.5,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"024","8.0",46,0.6,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"025","8.0",46,0.7,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"026","8.0",46,0.8,"0",98,"AVD, AIB, PVC, AVE",4,2
"127","8.0",46,0.8,"1",51,"AVD, PVC, AVE, AIB, AVG",5,2
"027","8.0",46,0.9,"0",79,"AVE, PVC, AVD, AIB",4,2
"128","8.0",46,0.9,"1",70,"AVD, PVC, AVE, AIB, AVB, AVG",6,2
"028","8.0",46,1,"0",63,"PVC, AVD, AVE, AVG, AIB, AVB, AIN, LUAR, AVA, RMH, RMD, RMG, AIA, MCL, URA, M2, M1, RIG, DB, DA, RID, RIR, PVW, URY, VC, PLN, PVPL, RIA, I1, RIP, NSML, SAB, SDQ, I5, M4, PVQ, SMD, RIS, RIV, ADA, RIB, AVJ, RIF, IL2, DVA, SAA, RIM, I4, RIH, BDU, AVL, RIC, PDB, AIY, AS, I3, URB",57,3
"129","8.0",46,1,"1",49,"AVD",1,3
"224","8.0",46,1,"2",37,"PVC, AIB, AVE, DB, AVD",5,3
"029","8.0",46,1.1,"0",62,"PVC, AVD, AVE, AVG, AIB, AVB, LUAR, AVA, RMH, AIN, RMD, RMG, AIA, MCL, URA, DA, DB, M2, M1, RIG, RIR, RID, PVW, URY, PVPL, VC, RIA, AVJ, SAB, I1, RIP, PLN, RIV, NSML, M4, SDQ, PVQ, I5, SMD, IL2, RIF, RIS, ADA, RIB, SAA, RIM",46,5
"130","8.0",46,1.1,"1",45,"AVD",1,5
"225","8.0",46,1.1,"2",37,"PVC, AIB, AVE, DB, AVD",5,5
"316","8.0",46,1.1,"3",3,"",0,5
"47","8.0",46,1.1,"4",2,"",0,5
"030","8.0",46,1.2,"0",58,"PVC, AVD, AVE, AVG, AIB, AVB, AIN, AVA, LUAR, RMH, AIA, RMD, RMG, DA, DB, MCL, M1, RIR, URA, M2, RIG, RID, AVJ, PVW, PVPL, URY, ADA, RIV, VC, RIA, SAB, PLN, DVA, I1, RIF, RIP, M4, I5, NSML, PVQ, SMD, SDQ, IL2, RIS, RIB, SAA, RIH, RIM",48,9
"136","8.0",46,1.2,"1",31,"AVD",1,9
"226","8.0",46,1.2,"2",27,"PVC, AIB, AVE, AVD, DB, LUAR, NSML, AIN, SAB, AVG, AIA, AVB, RIB, RIM, RID, DA, AVA",17,9
"317","8.0",46,1.2,"3",8,"",0,9
"48","8.0",46,1.2,"4",6,"",0,9
"57","8.0",46,1.2,"5",6,"",0,9
"67","8.0",46,1.2,"6",5,"",0,9
"77","8.0",46,1.2,"7",5,"",0,9
"87","8.0",46,1.2,"8",3,"",0,9
"031","8.0",46,1.3,"0",53,"AVD, PVC, AVE, AIB, AVG",5,13
"137","8.0",46,1.3,"1",21,"",0,13
"227","8.0",46,1.3,"2",19,"PVC, DB, AIB, AVE, AVD, SAB, NSML, AIN, AIA, AVB, AVG, AIM, RMG, RIP, DA, RID",16,13
"318","8.0",46,1.3,"3",14,"AVD, AVE, AVB, AVA, AIB, AVG, PVC, RMG, M2, RIG, RIA",11,13
"49","8.0",46,1.3,"4",10,"",0,13
"58","8.0",46,1.3,"5",7,"",0,13
"68","8.0",46,1.3,"6",6,"",0,13
"78","8.0",46,1.3,"7",4,"",0,13
"88","8.0",46,1.3,"8",4,"",0,13
"96","8.0",46,1.3,"9",3,"",0,13
"106","8.0",46,1.3,"10",3,"",0,13
"1110","8.0",46,1.3,"11",3,"",0,13
"1210","8.0",46,1.3,"12",2,"",0,13
"032","8.0",46,1.4,"0",49,"AVD, PVC, AVE, AIB, AVG",5,17
"138","8.0",46,1.4,"1",18,"",0,17
"228","8.0",46,1.4,"2",14,"PVC, DB, AIB, AVE, NSML, AVB, AIN, RMG",8,17
"319","8.0",46,1.4,"3",10,"AVD, AVE, AIB, AVB, AVA, AVG, PVC, RIA, RIG, M1",10,17
"410","8.0",46,1.4,"4",8,"",0,17
"59","8.0",46,1.4,"5",7,"",0,17
"69","8.0",46,1.4,"6",7,"AVD, AVG, PVC, AVE, AIB, RIM, AIN, RIB, RID, SMD, RME",11,17
"79","8.0",46,1.4,"7",8,"",0,17
"89","8.0",46,1.4,"8",6,"",0,17
"97","8.0",46,1.4,"9",6,"",0,17
"107","8.0",46,1.4,"10",3,"",0,17
"1111","8.0",46,1.4,"11",3,"",0,17
"1211","8.0",46,1.4,"12",2,"",0,17
"139","8.0",46,1.4,"13",2,"",0,17
"145","8.0",46,1.4,"14",2,"",0,17
"155","8.0",46,1.4,"15",2,"",0,17
"164","8.0",46,1.4,"16",2,"",0,17
"033","8.0",46,1.5,"0",47,"AVD, PVC, AVE, AVG, AIB, AVB, AIN, AVA, RMH, AIA, RMD, MCL, RIR, DB, LUAR, DA, M1, RMG, PLN, URA, AVJ, PVPL, M2, I1, RID, PVW, RIG, VC, M4, RIV, URB, NSML, RIF, DVA, RIM, I5, RIA, URY, SAB, SDQ, AVF, RIH, SMD, SAA, IL2, I4, RIP, AS, PVQ, ADA, SIB, RIB, PDB, VB, RIS, AVL, AIY, RIC, BDU, VA, I6, PHC, MI, AIZ, I3, I2, SMB, AVH, PVR, AIM, RME, ALN, PVM, PVT, AVK, DVB, URX, M3, IL1, ALA",80,26
"140","8.0",46,1.5,"1",9,"",0,26
"229","8.0",46,1.5,"2",9,"",0,26
"320","8.0",46,1.5,"3",8,"AVD, AIB, AVE, RIG",4,26
"411","8.0",46,1.5,"4",8,"",0,26
"510","8.0",46,1.5,"5",5,"",0,26
"610","8.0",46,1.5,"6",5,"",0,26
"710","8.0",46,1.5,"7",4,"AVE",1,26
"810","8.0",46,1.5,"8",4,"",0,26
"98","8.0",46,1.5,"9",5,"",0,26
"108","8.0",46,1.5,"10",4,"",0,26
"1112","8.0",46,1.5,"11",4,"",0,26
"1212","8.0",46,1.5,"12",5,"AVE",1,26
"1310","8.0",46,1.5,"13",3,"",0,26
"146","8.0",46,1.5,"14",3,"",0,26
"156","8.0",46,1.5,"15",3,"",0,26
"165","8.0",46,1.5,"16",3,"",0,26
"174","8.0",46,1.5,"17",3,"",0,26
"184","8.0",46,1.5,"18",2,"",0,26
"194","8.0",46,1.5,"19",2,"",0,26
"204","8.0",46,1.5,"20",3,"",0,26
"2110","8.0",46,1.5,"21",2,"",0,26
"2210","8.0",46,1.5,"22",2,"",0,26
