,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
48,8.0,"('AVD', 'AVG', 'PVC')",3,2,"[(8, 2.0), (8, 2.1)]"
49,8.0,"('AIM', 'AIZ', 'PVW')",3,2,"[(8, 2.0), (8, 2.2)]"
50,8.0,"('I4', 'LUAR', 'RMG')",3,1,"[(8, 2.2)]"
51,8.0,"('AIB', 'AVB', 'AVD')",3,1,"[(8, 3.0)]"
52,8.0,"('AIB', 'AVD', 'AVE', 'PVC')",4,95,"[(46, 0.8), (46, 0.9), (46, 2.1), (46, 2.2), (46, 2.3), (46, 2.5), (46, 2.8), (46, 2.9), (46, 3.0), (31, 0.6), (31, 0.7), (31, 0.8), (31, 0.9), (31, 1.0), (23, 0.5), (23, 0.6), (23, 1.0), (23, 1.1), (23, 1.2), (23, 1.3), (23, 1.4), (23, 2.4), (23, 2.7), (23, 2.9), (23, 3.0), (18, 0.5), (18, 0.6), (18, 0.7), (18, 0.8), (18, 0.9), (18, 1.0), (18, 1.1), (15, 0.5), (15, 0.6), (15, 0.7), (15, 0.8), (15, 0.9), (15, 1.2), (15, 1.3), (15, 1.5), (15, 1.6), (15, 1.7), (13, 0.5), (13, 0.6), (13, 0.7), (13, 0.8), (13, 0.9), (13, 1.0), (13, 1.1), (13, 1.2), (13, 1.3), (13, 1.4), (13, 1.7), (13, 1.8), (12, 0.5), (12, 0.6), (12, 0.7), (12, 0.8), (12, 0.9), (12, 1.0), (12, 1.1), (12, 1.2), (12, 1.4), (12, 1.5), (10, 0.4), (10, 0.5), (10, 0.6), (10, 0.7), (10, 0.8), (10, 0.9), (10, 1.0), (10, 1.1), (10, 1.2), (10, 1.3), (10, 1.4), (10, 1.6), (10, 1.9), (9, 0.4), (9, 0.5), (9, 0.6), (9, 0.7), (9, 0.8), (9, 0.9), (9, 1.0), (9, 1.5), (9, 1.6), (8, 0.3), (8, 0.4), (8, 0.5), (8, 0.6), (8, 0.7), (8, 0.8), (8, 1.1), (8, 1.2), (8, 1.5)]"
53,8.0,"('AIB', 'AVD', 'AVE', 'RIG')",4,1,"[(46, 1.5)]"
54,8.0,"('AVD', 'AVE', 'AVG', 'PVC')",4,11,"[(31, 0.6), (31, 1.1), (31, 1.2), (31, 1.3), (31, 1.4), (31, 1.5), (31, 1.6), (31, 1.7), (31, 2.2), (31, 2.3), (23, 2.8)]"
55,8.0,"('AIB', 'DB', 'PVC', 'SAB')",4,1,"[(31, 1.5)]"
56,8.0,"('AVD', 'AVE', 'PVC', 'RIM')",4,8,"[(31, 2.3), (15, 1.9), (15, 2.0), (15, 2.1), (15, 2.2), (15, 2.3), (15, 2.4), (15, 2.6)]"
57,8.0,"('AIB', 'DA', 'DB', 'PVC')",4,1,"[(9, 2.7)]"
