"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64"
"0",0.878600823045268,0,0.023543990086741,0.00121654501216545,0,0,0,0,0,0,0.00285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202020202020202,0,0,0,0,0,0,0,0,0,0
"1",0,0.642292490118577,0.017478152309613,0.00370828182941904,0,0.00402144772117962,0.021978021978022,0.0142450142450142,0.00282885431400283,0,0.0161764705882353,0.00441176470588235,0,0,0,0,0.0235109717868339,0.00625,0.00166666666666667,0.0016750418760469,0,0.00169779286926995,0,0,0,0.00900900900900901,0,0.00732600732600733,0.00551470588235294,0,0.0056390977443609,0.00189753320683112,0,0,0,0.00193798449612403,0,0.00392156862745098,0.00196463654223969,0,0,0,0.0100806451612903,0.00401606425702811,0.00200803212851406,0,0,0,0,0,0,0.00205338809034908,0,0,0,0.004149377593361,0,0,0,0,0,0,0,0,0
"2",0.0380835380835381,0.0170827858081472,0.75462962962963,0,0,0.00435413642960813,0,0.00152905198776758,0.00462249614791988,0,0.00316455696202532,0,0,0,0,0,0,0,0.00184162062615101,0,0,0.0018796992481203,0,0,0,0.00199203187250996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225733634311512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.00120048019207683,0,0.00268456375838926,0.968253968253968,0,0,0.00148148148148148,0,0,0,0,0,0,0,0,0,0.00171232876712329,0,0.0018796992481203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0.0013550135501355,0,0,0.994252873563218,0,0.00153609831029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0.00289855072463768,0,0,0,0.94888178913738,0.00165562913907285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268817204301075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.00305343511450382,0.0015625,0,0,0.00349040139616056,0,0,0.945454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0.0107361963190184,0,0,0,0,0.330232558139535,0,0,0,0.00193050193050193,0.00196078431372549,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0.00241545893719807,0,0.385714285714286,0,0,0,0,0,0,0,0,0,0,0.00293255131964809,0.00591715976331361,0,0,0,0,0.00304878048780488,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0.0065359477124183,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0.987654320987654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
